month_date,mean_mkt,lo80_mkt,hi80_mkt,lo95_mkt,hi95_mkt,mean_mining,lo80_mining,hi80_mining,lo95_mining,hi95_mining
2025 Aug,0.9417383310951395,0.7712516396815765,1.1122250225087025,0.6810014368508726,1.2024752253394064,-0.11704479739660362,-0.3397766998100451,0.1056871050168379,-0.45768384671407913,0.22359425192087184
2025 Sep,0.9478532711249787,0.772128149056464,1.1235783931934935,0.6791048885448108,1.2166016537051467,-0.11370899328241187,-0.3407198118897776,0.11330182532495388,-0.4608920802012092,0.23347409363638544
2025 Oct,0.9527920283670497,0.7718843832847933,1.1336996734493061,0.676117660809705,1.229466395924394,-0.11042663311327583,-0.3415364902043593,0.12068322397780762,-0.4638786584153027,0.24302539218875097
2025 Nov,0.9565867620641386,0.7705557639752303,1.142617760153047,0.6720769022463984,1.2410966218818789,-0.10719929291856625,-0.342232872789919,0.1278342869527865,-0.46665213437298814,0.2522535485358556
2025 Dec,0.9604305475033156,0.7693377426067123,1.1515233523999189,0.6681793222138194,1.2526817727928117,-0.10402834239235634,-0.3428150307351569,0.13475834595044422,-0.4692210679309461,0.26116438314623336
2026 Jan,0.9653623526417021,0.7692709309021125,1.1614537743812918,0.6654664025918681,1.265258302691536,-0.10091495763080684,-0.34328894846497143,0.1414590332033578,-0.4715939888895542,0.2697640736279406
2026 Feb,0.971150166283887,0.7701243574336826,1.1721759751340914,0.6637077223725485,1.2785926101952252,-0.09786013326484146,-0.3436605068452614,0.1479402403155785,-0.47377936473126137,0.2780590982015785
2026 Mar,0.9765085396852414,0.7706131165084352,1.1824039628620475,0.6616186633370476,1.2913984160334353,-0.09486469401192263,-0.3439354687935371,0.15420608076969183,-0.47578557249877584,0.28605618447493053
2026 Apr,0.9804355314625763,0.7697354027157446,1.191135660209408,0.6581974920542661,1.3026735708708865,-0.09192930566997226,-0.3441194671179821,0.16026085577803756,-0.4776208743766851,0.2937622630367406
2026 May,0.9833170925681629,0.7678769708156321,1.1987572143206937,0.6538298594263224,1.3128043257100033,-0.0890544855757336,-0.34421799434026545,0.16610902318879828,-0.47929339659046777,0.30118442543900054
2026 Jun,0.9866659506185821,0.7665500826922176,1.2067818185449466,0.6500277807934637,1.3233041204437004,-0.08624061254913945,-0.34423639428559527,0.17175516918731637,-0.48081111128036025,0.30832988618208135
2026 Jul,0.9917216569621126,0.7669936067789528,1.2164497071452722,0.64802976307587,1.3354135508483551,-0.0834879363445381,-0.3441798552479249,0.17720398255884867,-0.4821818210452646,0.3152059483561883
2026 Aug,0.9982806223951014,0.7690030975474939,1.2275581472427088,0.6476309074342883,1.3489303373559145,-0.08079658662893216,-0.3440534045594632,0.18246023130159886,-0.4834131458847384,0.3218199726268741
2026 Sep,1.0049066357706882,0.7711413507016707,1.2386719208397057,0.6473934838310617,1.3624197877103146,-0.07816658150670558,-0.343861904412172,0.18752874139876086,-0.48451251229580955,0.3281793492823984
2026 Oct,1.0103087428870499,0.7721163126272426,1.2485011731468572,0.6460248566581711,1.3745926291159285,-0.07559783560965265,-0.3436100487951612,0.1924143775758559,-0.4854871443065225,0.33429147308721713
