sa2_name,mode,loading_value,start_date,end_date
ALBANY CREEK,3,0.02374,1998-04-01,2024-01-01
ALBANY CREEK,4,-0.00312,1998-04-01,2024-01-01
ALBANY CREEK,5,-0.0056,1998-04-01,2024-01-01
ALBANY CREEK,6,-0.00132,1998-04-01,2024-01-01
ALBANY CREEK,7,-0.04422,1998-04-01,2024-01-01
ALBANY CREEK,8,0.02982,1998-04-01,2024-01-01
ALBANY CREEK,9,0.00125,1998-04-01,2024-01-01
ALBANY CREEK,10,-0.00203,1998-04-01,2024-01-01
ALBANY CREEK,11,-0.009,1998-04-01,2024-01-01
ALBANY CREEK,12,0.00405,1998-04-01,2024-01-01
ALBANY CREEK,13,0.00435,1998-04-01,2024-01-01
ALBANY CREEK,14,-0.00148,1998-04-01,2024-01-01
ALBANY CREEK,15,-0.00402,1998-04-01,2024-01-01
ALBANY CREEK,16,0.00489,1998-04-01,2024-01-01
ALBANY CREEK,17,-0.00479,1998-04-01,2024-01-01
ALBANY CREEK,18,-0.00645,1998-04-01,2024-01-01
ALBANY CREEK,19,0.00499,1998-04-01,2024-01-01
ALBANY CREEK,20,0.00465,1998-04-01,2024-01-01
ALBANY REGION,0,0.93138,1998-04-01,2024-01-01
ALBANY REGION,1,0.33222,1998-04-01,2024-01-01
ALBANY REGION,2,-0.0249,1998-04-01,2024-01-01
ALBANY REGION,3,0.03667,1998-04-01,2024-01-01
ALBANY REGION,4,0.0901,1998-04-01,2024-01-01
ALBANY REGION,5,-0.05871,1998-04-01,2024-01-01
ALBANY REGION,6,0.03697,1998-04-01,2024-01-01
ALBANY REGION,7,0.06608,1998-04-01,2024-01-01
ALBANY REGION,8,-0.01542,1998-04-01,2024-01-01
ALBANY REGION,9,0.00632,1998-04-01,2024-01-01
ALBANY REGION,10,-0.01544,1998-04-01,2024-01-01
ALBANY REGION,11,0.00776,1998-04-01,2024-01-01
ALBANY REGION,12,0.00873,1998-04-01,2024-01-01
ALBANY REGION,13,0.00772,1998-04-01,2024-01-01
ALBANY REGION,14,0.00192,1998-04-01,2024-01-01
ALBANY REGION,15,-0.02076,1998-04-01,2024-01-01
ALBANY REGION,16,0.00015,1998-04-01,2024-01-01
ALBANY REGION,17,0.01486,1998-04-01,2024-01-01
ALBANY REGION,18,-0.00254,1998-04-01,2024-01-01
ALBANY REGION,19,-0.00271,1998-04-01,2024-01-01
ALBANY REGION,20,0.0055,1998-04-01,2024-01-01
